,date,id,author_id,text,like,n_rt,author,colours
37,2021-12-26 20:22:03+00:00,1475200256702828553,1364298062919794688,"I casi calano in Romania, Bulgaria, Ucraina, Moldavia... nonostante bassi tassi di vaccinazione.

Ma i giornalisti vedono solo il calo in Austria e Germania e danno il merito al presunto lockdown dei no vax.

Riportano solo i dati utili per la loro propaganda. 

#NoGreenPass",526,170,Lorenzo62752880,#aaaacc
38,2021-12-29 06:38:46+00:00,1476080234621513732,1349169332773916673,"Il #29dicembre di un anno fa, la prima vaccinazione anti-Covid dava il via alla campania sanitaria contro il #Covid.

Purtroppo,con 80mila contagi do oggi, costatiamo il fallimento della campagna vaccinale.

No #terzadose 
No #quartadose 
#NoGreenPass 
#NoGreenPass 
No #lockdown https://t.co/K01dsoPZhh",1,1,Chiars_58553754,#aaaacc
39,2021-12-28 18:43:47+00:00,1475900301781745669,923171889891209217,#Toscana da oggi i #tamponi rapidi di farmacia attestano la malattia (senza molecolare) e la guarigione. Ma non erano quelli inaffidabili che giustificavano il #supergreenpass ? Siete RIDICOLI #nogreenpass #GreenPassrafforzato https://t.co/lFheDfttai,25,11,CLiVaToscana,#aaaacc
40,2021-12-29 05:37:50+00:00,1476064899608547329,3207569033,"Ci hanno tolto libertà, soldi sonno, serenità e affetti. 
Non potranno mai risarcirci, per questo spero che almeno da lassù qualcuno ci pensi. Spero nella giustizia divina ma non demordo che anche quella terrena faccia il suo corso. 
#NoGreenPass",2,1,Antiniska_S_,#aaaacc
41,2021-12-28 20:27:02+00:00,1475926285365006345,1364298062919794688,"Anche il sindaco di Verona positivo nonostante vaccino. 

Le discriminazioni e le sospensioni dal lavoro sono sempre più senza fondamento. Il green pass misura da rimuovere. 

#NoGreenPass",370,106,Lorenzo62752880,#aaaacc
42,2021-12-28 18:46:30+00:00,1475900985293905924,1438546161955229703,"In parole semplici. 

#NoGreenPass #tamponi #VarianteOmicron #draghibugiardo #Draghistan https://t.co/mqTMLoSZkl",10,4,GandalfRevn,#aaaacc
43,2021-12-28 14:17:32+00:00,1475833296630304776,1044958567,"Complottismi.
#biopolitica #vaccini
#greenpass #Nogreenpass #Supergreenpass
#neonazismo
#tirannide #STATODIEMERGENZA
#Speranza #Draghi #CTS
#megagreenpass #complottismo https://t.co/tUovvcBCPi",6,4,agbiuso,#aaaacc
44,2021-12-28 11:49:54+00:00,1475796142545903618,4882542093,"Ricordate la raccolta firme di #Trieste contro le proteste #Nogreenpass? Firmò anche Alexandros Delithanassis, gestore dello storico caffè San Marco. Lo scorso 30 ottobre, rivolgendosi ai manifestanti, disse: ""il brutto momento glielo state facendo attraversare voi a Trieste!”.",538,151,lordfed3,#aaaacc
45,2021-12-28 13:15:00+00:00,1475817560264392708,1361833561972686849,"Grazie, ma non compro nulla, il 31 dicembre SPENGO LA TIVÙ 📺.

#31dicembre #discorsofineanno #capodanno #Italia #Segrerella #Draghistan #NoGreenPass https://t.co/8Xv8LU5wxh",43,22,Urbano___VIII,#aaaacc
46,2021-12-23 22:00:06+00:00,1474137765751275526,1436260950198431750,Il problema è che l’Italia è un Paese di uomini soia. Se ci fossero stati uomini alfa in maggioranza tutto questo non sarebbe successo. Invece sono conigli impauriti 🐰 #novax #NoGreenPass #23dicembre,3,1,ManuelaV_a,#aaaacc
47,2021-12-28 14:19:22+00:00,1475833758104313856,977434731523559424,"Era il 2018… ben 8 MILIONI di italiani con l’influenza ma si viveva normalmente @MinisteroSalute 
e ora per 50 contagiati ogni 100.000 abitanti è ALLARME🚨  
#RiprendiamociIlFuturo #Freedom #NoGreenPass #NoVaccinePassports https://t.co/fO3zXpewhb",31,20,vecchietta73,#aaaacc
