,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,id,author_id,author,n_rt,text_complete,hashtags,colours_y,Id,Label,Colour,text_preprocessed,text_preprocessed_new,sentiment
372,372,372,372,372,372,372,372,1475105980589477900,1254793309324816387,matteo_rivi,2,"Come ""funzionicchiano"" i booster di #Moderna e #Pfizer 
😂😂😂
👇👇👇👇👇👇

#statodiemergenza 
#NoGreenPass 
#megagreenpass https://t.co/jBLgOoidr4",#NoGreenPass,0,1.2547933093248164e+18,matteo_rivi,#fb1239,come  funzionicchiano  i booster di e           ,funzionicchiano booster,0.0
373,373,373,373,373,373,373,373,1475151589077831689,2571088997,cristian_paroli,3,"Mi dispiace dirlo...ma l'avete voluto e accettato voi....quindi...
#Nogreenpass https://t.co/a6be0oktub",#NoGreenPass,0,2571088997.0,cristian_paroli,#fb1239,mi dispiace dirlo   ma l avete voluto e accettato voi    quindi   ,dispiacere dire volere accettare quindi,0.3612
374,374,374,374,374,374,374,374,1475155357580374020,800095490,MGiacky,1,"Le terapie intensive sono piene? ⁦@N037591⁩ 

No! Appena screenshottato! #draghistan #nogreenpass #covid19 https://t.co/6o8vpHtQ4p",#nogreenpass,#aaaacc,,,,le terapie intensive sono piene    n037591  no  appena screenshottato ,terapia intensivo pieno n037591 no appena screenshottato,0.0
375,375,375,375,375,375,375,375,1475148954916384769,1366086962164154371,axhelix,1,"@MinisteroSalute Perchè nessuno di quelli ""importanti"" fa notare che il #greenpass ha ancora menso senso ora che è finalmente accettato che i vaccinati contagiano e si possono contagiare? Si parla sempre di #vaccini poco di #nogreenpass #COVID19 #lockdown #Draghi #Speranza",#NoGreenPass,0,1.3660869621641544e+18,axhelix,#fb1239,perchè nessuno di quelli  importanti  fa notare che il ha ancora menso senso ora che è finalmente accettato che i vaccinati contagiano e si possono contagiare  si parla sempre di poco di,perchè nessuno importante fare notare ancora menso senso ora finalmente accettare vaccinare contagiare potere contagiare parlare sempre poco,-0.4003
376,376,376,376,376,376,376,376,1467093215627124736,1454127021836091397,pecorefannobooh,1,"E tu ti senti più NO-VAF o SI-VAF??

#novax #Novavax #NoGreenPass #nogreenpassobbligatorio #governodeipeggiori https://t.co/l2I3mIfh3f",['#NoGreenPass'],#fb1239,,,,e tu ti senti più no vaf o si vaf  ,sentire no vaf vaf,-0.7184
377,377,377,377,377,377,377,377,1474865330358992904,710520401735057409,AntonelloZedda,14,"Sardegna #NoGreenPass
Buon Natale
#ionondiscrimino https://t.co/U2I4FUt8rn",#NoGreenPass,0,7.105204017350574e+17,AntonelloZedda,#fb1239,sardegna buon natale,sardegna buon natale,0.5423
378,378,378,378,378,378,378,378,1475114115123367940,775207523720790016,Diogene55,2,"Si vede che anche in #Romania la "" sovranità appartiene al POPOLO "", che però, a differenza dell' ITALIA, la applica nei modi che ritiene più opportuni... 👊

#NoGreenPass https://t.co/cnmKXEhNRR",#casapound,2,7.7520752372079e+17,Diogene55,#042069,si vede che anche in la   sovranità appartiene al popolo    che però  a differenza dell  italia  la applica nei modi che ritiene più opportuni     ,vedere sovranità appartenere popolo però differenza italia applicare modo ritenere opportuno,-0.5653
379,379,379,379,379,379,379,379,1475100536093528082,1460634559113043973,AlexS8338,1,"Non c'è mai stato alcun #lockdown dei non vaccinati in #Germania , ma come fa a permettere queste balle @lucfontana ?? Buffoni... #NoGreenPass #novax #26dicembre https://t.co/2r2e0VJTx4",#NoGreenPass,0,1.460634559113044e+18,AlexS8338,#fb1239,non c è mai stato alcun dei non vaccinati in   ma come fa a permettere queste balle    buffoni   ,mai stare alcun vaccinare fare permettere balla buffoni,-0.5927
380,380,380,380,380,380,380,380,1475120230603145216,994221768402526208,natizer_,2,"@Adnkronos Sei un babbeo

#NoGreenPass https://t.co/jt4xVNw8z1",#NoGreenPass,0,9.942217684025262e+17,natizer_,#fb1239,sei un babbeo,babbeo,-0.8555
381,381,381,381,381,381,381,381,1475096540956049409,468641665,Mslauria77,1,"Prima che all'aperto quando cammino solo per la strada 
 io metta la mascherina dovrebbe scendere qualcuno dalla croce #nomask #nogreenpass #curenonvaccini https://t.co/iXH9ZFx77R",#nogreenpass,#aaaacc,,,,prima che all aperto quando cammino solo per la strada io metta la mascherina dovrebbe scendere qualcuno dalla croce,prima aprire quando cammino solo strada mettere mascherina dovere scendere qualcuno croce,-0.7906
382,382,382,382,382,382,382,382,1440018411942252544,177164070,MarcoRCapelli,84,"Le leggi si rispettano!!

Gente che ha infranto la legge: 
Gandhi, 
Schindler,
Martin Luther King,
Nelson Mandela, 
Ciro Menotti, 
Ugo Bassi,
Garibaldi, 
Robin Hood...

#NoGreenPass 
@controTV @VisioneTv @byoblu @RadioRadioWeb https://t.co/cFHG8D6WjO",#NoGreenPass,0,177164070.0,MarcoRCapelli,#99cccc,le leggi si rispettano   gente che ha infranto la legge  gandhi  schindler  martin luther king  nelson mandela  ciro menotti  ugo bassi  garibaldi  robin hood   ,legge rispettare gente infranto legge gandhi schindler martin luther king nelson mandela ciro menotti ugo basso garibaldi robin hood,0.0
